step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
106,dvfs_controller_set,1028224,717,0
107,preference_plane_get,8576,164,0
107,tegra_daemon_sample,30016,204,0
107,rl_arbiter_act,53312,284,0
107,override_layer_step,10400,217,0
107,resource_manager_decide,12256,52,0
107,dvfs_controller_set,1078976,583,0
108,preference_plane_get,8384,164,0
108,tegra_daemon_sample,29920,204,0
108,rl_arbiter_act,54688,284,0
108,override_layer_step,9760,284,0
108,resource_manager_decide,12448,52,0
108,dvfs_controller_set,1040928,620,0
109,preference_plane_get,8928,164,0
109,tegra_daemon_sample,30016,204,0
109,rl_arbiter_act,54496,284,0
109,override_layer_step,10656,217,0
109,resource_manager_decide,12864,52,0
109,dvfs_controller_set,1021280,516,0
110,preference_plane_get,8736,164,0
110,tegra_daemon_sample,31168,204,0
110,rl_arbiter_act,56480,284,0
110,override_layer_step,9632,284,0
110,resource_manager_decide,12704,52,0
110,dvfs_controller_set,1025888,516,0
111,preference_plane_get,8416,164,0
111,tegra_daemon_sample,30112,204,0
111,rl_arbiter_act,54240,284,0
111,override_layer_step,9952,284,0
111,resource_manager_decide,12160,52,0
111,dvfs_controller_set,1014624,516,0
112,preference_plane_get,8480,164,0
112,tegra_daemon_sample,30208,204,0
112,rl_arbiter_act,54240,284,0
112,override_layer_step,9504,284,0
112,resource_manager_decide,11968,52,0
112,dvfs_controller_set,1076928,516,0
113,preference_plane_get,8928,395,0
113,tegra_daemon_sample,31392,140,0
113,rl_arbiter_act,56064,284,0
113,override_layer_step,10272,284,0
113,resource_manager_decide,12928,52,0
113,dvfs_controller_set,1028992,583,0
114,preference_plane_get,8800,164,0
114,tegra_daemon_sample,30112,204,0
114,rl_arbiter_act,54592,284,0
114,override_layer_step,10720,217,0
114,resource_manager_decide,12576,52,0
114,dvfs_controller_set,1039008,1726,0
115,preference_plane_get,8768,164,0
115,tegra_daemon_sample,29952,204,0
115,rl_arbiter_act,86144,284,0
115,override_layer_step,10592,217,0
115,resource_manager_decide,12736,52,0
115,dvfs_controller_set,1012288,583,0
116,preference_plane_get,8544,164,0
116,tegra_daemon_sample,29120,204,0
116,rl_arbiter_act,53280,284,0
116,override_layer_step,9856,217,0
116,resource_manager_decide,12640,52,0
116,dvfs_controller_set,1273376,684,0
117,preference_plane_get,8448,164,0
117,tegra_daemon_sample,30432,204,0
117,rl_arbiter_act,54720,284,0
117,override_layer_step,10272,284,0
117,resource_manager_decide,13280,52,0
117,dvfs_controller_set,1079392,516,0
118,preference_plane_get,9120,164,0
118,tegra_daemon_sample,30368,204,0
118,rl_arbiter_act,54528,284,0
118,override_layer_step,10688,217,0
118,resource_manager_decide,13184,52,0
118,dvfs_controller_set,1022880,583,0
119,preference_plane_get,8704,164,0
119,tegra_daemon_sample,30112,204,0
119,rl_arbiter_act,54688,284,0
119,override_layer_step,9664,284,0
119,resource_manager_decide,12512,52,0
119,dvfs_controller_set,1025344,583,0
120,preference_plane_get,8864,164,0
120,tegra_daemon_sample,30048,204,0
120,rl_arbiter_act,54816,284,0
120,override_layer_step,10336,217,0
120,resource_manager_decide,12704,52,0
120,dvfs_controller_set,1026752,608,0
121,preference_plane_get,8864,164,0
121,tegra_daemon_sample,30272,204,0
121,rl_arbiter_act,54656,284,0
121,override_layer_step,9504,284,0
121,resource_manager_decide,12704,52,0
121,dvfs_controller_set,1020992,667,0
122,preference_plane_get,8864,164,0
122,tegra_daemon_sample,30016,204,0
122,rl_arbiter_act,53792,284,0
122,override_layer_step,10688,217,0
122,resource_manager_decide,12352,52,0
122,dvfs_controller_set,1100928,784,0
123,preference_plane_get,8768,164,0
123,tegra_daemon_sample,30048,204,0
123,rl_arbiter_act,54848,284,0
123,override_layer_step,10240,217,0
123,resource_manager_decide,12000,52,0
123,dvfs_controller_set,1045664,516,0
124,preference_plane_get,9664,395,0
124,tegra_daemon_sample,31392,140,0
124,rl_arbiter_act,56192,284,0
124,override_layer_step,10784,217,0
124,resource_manager_decide,12864,52,0
124,dvfs_controller_set,1019520,583,0
125,preference_plane_get,8864,164,0
125,tegra_daemon_sample,30688,204,0
125,rl_arbiter_act,54880,284,0
125,override_layer_step,9152,284,0
