step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
72,resource_manager_decide,11200,116,0
72,dvfs_controller_set,21024,452,0
73,replay_buffer_add,226688,458,0
73,lag_feature_extract,83584,848,0
73,preference_plane_get,8640,156,0
73,tegra_daemon_sample,28352,140,0
73,rl_arbiter_act,10784,52,0
73,override_layer_step,7360,116,0
73,resource_manager_decide,11584,116,0
73,dvfs_controller_set,21088,452,0
74,replay_buffer_add,229120,458,0
74,lag_feature_extract,84384,848,0
74,preference_plane_get,8512,156,0
74,tegra_daemon_sample,25824,140,0
74,rl_arbiter_act,10080,52,0
74,override_layer_step,6912,116,0
74,resource_manager_decide,10912,116,0
74,dvfs_controller_set,21504,452,0
75,replay_buffer_add,223680,458,0
75,lag_feature_extract,84576,789,0
75,preference_plane_get,8640,156,0
75,tegra_daemon_sample,27072,140,0
75,rl_arbiter_act,10080,52,0
75,override_layer_step,6944,116,0
75,resource_manager_decide,11232,116,0
75,dvfs_controller_set,20992,452,0
76,replay_buffer_add,230880,399,0
76,lag_feature_extract,82880,848,0
76,preference_plane_get,8832,156,0
76,tegra_daemon_sample,26240,140,0
76,rl_arbiter_act,10144,52,0
76,override_layer_step,7488,116,0
76,resource_manager_decide,11296,116,0
76,dvfs_controller_set,21568,452,0
77,replay_buffer_add,233056,458,0
77,lag_feature_extract,86912,848,0
77,preference_plane_get,8512,156,0
77,tegra_daemon_sample,27072,140,0
77,rl_arbiter_act,10784,52,0
77,override_layer_step,7328,116,0
77,resource_manager_decide,11104,116,0
77,dvfs_controller_set,22720,732,0
78,replay_buffer_add,234080,394,0
78,lag_feature_extract,91232,848,0
78,preference_plane_get,9568,156,0
78,tegra_daemon_sample,27136,140,0
78,rl_arbiter_act,10368,52,0
78,override_layer_step,7584,116,0
78,resource_manager_decide,10912,116,0
78,dvfs_controller_set,21408,452,0
79,replay_buffer_add,223360,399,0
79,lag_feature_extract,90560,848,0
79,preference_plane_get,8704,156,0
79,tegra_daemon_sample,27008,140,0
79,rl_arbiter_act,10048,52,0
79,override_layer_step,7456,116,0
79,resource_manager_decide,11008,116,0
79,dvfs_controller_set,21536,452,0
80,replay_buffer_add,233824,458,0
80,lag_feature_extract,83616,848,0
80,preference_plane_get,8864,156,0
80,tegra_daemon_sample,27072,140,0
80,rl_arbiter_act,9824,52,0
80,override_layer_step,7456,116,0
80,resource_manager_decide,10720,116,0
80,dvfs_controller_set,21472,452,0
81,replay_buffer_add,220064,458,0
81,lag_feature_extract,80992,848,0
81,preference_plane_get,8288,156,0
81,tegra_daemon_sample,27136,140,0
81,rl_arbiter_act,10976,52,0
81,override_layer_step,7136,116,0
81,resource_manager_decide,10656,116,0
81,dvfs_controller_set,20928,452,0
82,replay_buffer_add,230912,385,0
82,lag_feature_extract,93888,848,0
82,preference_plane_get,8992,376,0
82,tegra_daemon_sample,28800,140,0
82,rl_arbiter_act,10048,52,0
82,override_layer_step,7456,116,0
82,resource_manager_decide,11424,116,0
82,dvfs_controller_set,21568,452,0
83,replay_buffer_add,233376,458,0
83,lag_feature_extract,83232,848,0
83,preference_plane_get,8320,156,0
83,tegra_daemon_sample,26912,140,0
83,rl_arbiter_act,9728,52,0
83,override_layer_step,7392,116,0
83,resource_manager_decide,11392,116,0
83,dvfs_controller_set,20928,452,0
84,replay_buffer_add,214848,458,0
84,lag_feature_extract,82112,848,0
84,preference_plane_get,8384,156,0
84,tegra_daemon_sample,27136,140,0
84,rl_arbiter_act,9888,52,0
84,override_layer_step,7680,116,0
84,resource_manager_decide,11616,116,0
84,dvfs_controller_set,21536,452,0
85,replay_buffer_add,236960,458,0
85,lag_feature_extract,83712,848,0
85,preference_plane_get,8192,156,0
85,tegra_daemon_sample,26496,140,0
85,rl_arbiter_act,9536,52,0
85,override_layer_step,7424,116,0
85,resource_manager_decide,10848,116,0
85,dvfs_controller_set,20896,452,0
86,replay_buffer_add,228256,458,0
86,lag_feature_extract,84448,848,0
86,preference_plane_get,8160,156,0
86,tegra_daemon_sample,26112,140,0
86,rl_arbiter_act,10176,52,0
86,override_layer_step,7232,116,0
86,resource_manager_decide,11136,116,0
86,dvfs_controller_set,21184,452,0
87,replay_buffer_add,235808,734,0
87,lag_feature_extract,85216,784,0
87,preference_plane_get,8544,156,0
87,tegra_daemon_sample,26848,140,0
87,rl_arbiter_act,10688,52,0
87,override_layer_step,7584,116,0
87,resource_manager_decide,11136,116,0
87,dvfs_controller_set,21792,452,0
88,replay_buffer_add,222336,399,0
88,lag_feature_extract,83616,848,0
88,preference_plane_get,8224,156,0
88,tegra_daemon_sample,27008,140,0
88,rl_arbiter_act,10112,52,0
88,override_layer_step,7136,116,0
88,resource_manager_decide,11072,116,0
88,dvfs_controller_set,20704,452,0
89,replay_buffer_add,222368,458,0
89,lag_feature_extract,86496,848,0
89,preference_plane_get,8160,156,0
89,tegra_daemon_sample,26400,140,0
89,rl_arbiter_act,10144,52,0
89,override_layer_step,7008,116,0
89,resource_manager_decide,11008,116,0
89,dvfs_controller_set,21344,452,0
90,replay_buffer_add,242464,458,0
90,lag_feature_extract,84160,848,0
90,preference_plane_get,8224,156,0
90,tegra_daemon_sample,27232,140,0
90,rl_arbiter_act,10336,52,0
90,override_layer_step,7168,116,0
90,resource_manager_decide,10944,116,0
90,dvfs_controller_set,21856,452,0
